Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,50462AEZ,4dr Wgn Limited,24,4 (680-699),$14250,0.00245,0.63
2025,50462AEZ,4dr Wgn Limited,24,5 (660-679),$14250,0.00258,0.63
2025,50462AEZ,4dr Wgn Limited,24,6 (640-659),$14250,0.00272,0.63
2025,50462AEZ,4dr Wgn Limited,24,7 (620-639),$14250,0.00293,0.63
2025,50462REZ,4dr Wgn Limited,24,1 (740-999),$13250,0.00224,0.64
2025,50462REZ,4dr Wgn Limited,24,2 (720-739),$13250,0.00224,0.64
2025,50462REZ,4dr Wgn Limited,24,3 (700-719),$13250,0.00237,0.64
2025,50462REZ,4dr Wgn Limited,24,4 (680-699),$13250,0.00250,0.64
2025,50462REZ,4dr Wgn Limited,24,5 (660-679),$13250,0.00263,0.64
2025,50462REZ,4dr Wgn Limited,24,6 (640-659),$13250,0.00277,0.64
2025,50462REZ,4dr Wgn Limited,24,7 (620-639),$13250,0.00298,0.64
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,1 (740-999),$13500,0.00228,0.65
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,2 (720-739),$13500,0.00228,0.65
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,3 (700-719),$13500,0.00267,0.65
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,4 (680-699),$13500,0.00280,0.65
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,5 (660-679),$13500,0.00293,0.65
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,6 (640-659),$13500,0.00307,0.65
2025,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,24,7 (620-639),$13500,0.00328,0.65
2025,51402REZ,4dr Wgn SE (Standard Range),24,1 (740-999),$13500,0.00226,0.58
2025,51402REZ,4dr Wgn SE (Standard Range),24,2 (720-739),$13500,0.00226,0.58
2025,51402REZ,4dr Wgn SE (Standard Range),24,3 (700-719),$13500,0.00239,0.58
2025,51402REZ,4dr Wgn SE (Standard Range),24,4 (680-699),$13500,0.00252,0.58
2025,51402REZ,4dr Wgn SE (Standard Range),24,5 (660-679),$13500,0.00265,0.58
2025,51402REZ,4dr Wgn SE (Standard Range),24,6 (640-659),$13500,0.00279,0.58
2025,51402REZ,4dr Wgn SE (Standard Range),24,7 (620-639),$13500,0.00300,0.58
2025,51412AEZ,4dr Wgn SE,24,1 (740-999),$13750,0.00226,0.62
2025,51412AEZ,4dr Wgn SE,24,2 (720-739),$13750,0.00226,0.62
2025,51412AEZ,4dr Wgn SE,24,3 (700-719),$13750,0.00239,0.62
2025,51412AEZ,4dr Wgn SE,24,4 (680-699),$13750,0.00252,0.62
2025,51412AEZ,4dr Wgn SE,24,5 (660-679),$13750,0.00265,0.62
2025,51412AEZ,4dr Wgn SE,24,6 (640-659),$13750,0.00279,0.62
2025,51412AEZ,4dr Wgn SE,24,7 (620-639),$13750,0.00300,0.62
2025,51412REZ,4dr Wgn SE,24,1 (740-999),$13250,0.00224,0.62
2025,51412REZ,4dr Wgn SE,24,2 (720-739),$13250,0.00224,0.62
2025,51412REZ,4dr Wgn SE,24,3 (700-719),$13250,0.00237,0.62
2025,51412REZ,4dr Wgn SE,24,4 (680-699),$13250,0.00250,0.62
2025,51412REZ,4dr Wgn SE,24,5 (660-679),$13250,0.00263,0.62
2025,51412REZ,4dr Wgn SE,24,6 (640-659),$13250,0.00277,0.62
2025,51412REZ,4dr Wgn SE,24,7 (620-639),$13250,0.00298,0.62
